Ti ho visto piangere e non lo fai spesso,Eu te vi chorar e você não faz isso com frequência
"Ti senti fragile, ti senti persa","Você se sente frágil, você se sente perdida"
So che ti meriti un mondo diverso,Eu sei que você merece um mundo diferente
Perché poi in primis tu sei diversa,Porque você é diferente em primeiro lugar
Però ti chiedo,Mas eu te peço
Dimmi se ti senti male,Diga-me se você está se sentindo mal
Mi siedo al tuo fianco e troviamo un rimedio,Eu me sento ao seu lado e encontramos um remédio
O se io sono il tuo male rimandami indietro,"Ou se eu sou o seu mal, me mande de volta"
E se nessuno ti dà dei fiori,E se ninguém te der flores
Esci di casa e fatti un regalo,Saia de casa e faça um presente para você mesma
"Sai, l'amor proprio è quello migliore","Sabe, o amor-próprio é o melhor"
Prendi uno specchio e grida 'ti amo',Pegue um espelho e grite 'eu te amo'
Non ti serve nessuno,Você não precisa de ninguém
E presumo,E eu presumo
Che a volte ti senti sola,Que às vezes você se sente sozinha
Stammi a sentire,Escute-me
Ti giuro,Eu te juro
La cambi tu la tua storia,Você muda a sua história
E magari domani trovi qualcuno,E talvez amanhã você encontre alguém
Di cui fidarti giusto un poco di più,Em quem confiar um pouco mais
E magari ti spezza il cuore di nuovo,E talvez quebre seu coração de novo
E quindi all'amore vero non credi più,E então você não acredita mais no amor verdadeiro
Ma promettimi che non ti dai le colpe,Mas me prometa que você não se culpa
Solo chi è debole è il vero forte,Apenas quem é fraco é o verdadeiro forte
Passerà pure quest'altra notte,Essa outra noite também passará
È tutto okay,Está tudo bem
Combatti da sola,Lute sozinha
Dici non ti importa,Você diz que não se importa
Ti ha reso cattiva,Isso te deixou má
Tutta questa collera,Toda essa raiva
Basta,Chega
Lo so che sei buona,Eu sei que você é boa
Ora basta,Agora chega
È da dieci anni la stessa storia,Há dez anos é a mesma história
Da quando odiavi già quella scuola,Desde quando você já odiava aquela escola
Forse nessuno ha davvero capito,Talvez ninguém realmente entendeu
C'è più di un motivo se piangi ancora,Há mais de um motivo para você ainda chorar
E il vero amore dopo ti ha tradito,E o verdadeiro amor depois te traiu
Tu che pensavi fosse per la vita,Você que pensava que era para a vida toda
E poi ad andarsene è stato un amico,E então foi um amigo que se foi
Che ti diceva: 'ti starò vicino',Que te dizia: 'estarei ao seu lado'
Ora è tutto nelle tue mani,Agora está tudo em suas mãos
È da te che dipende il futuro,É de você que depende o futuro
Tu non lo sai dove arriverai,Você não sabe onde vai chegar
"Se ti fermi, non lo saprà nessuno","Se você parar, ninguém saberá"
Scusa che?,"Desculpe, o quê?"
Stai lavorando alla versione migliore di te,Você está trabalhando na melhor versão de si mesma
E solo adesso ho capito perché,E só agora eu entendi por quê
Ti ho visto piangere e non lo fai spesso,Eu te vi chorar e você não faz isso com frequência
"Ti senti fragile, ti senti persa","Você se sente frágil, você se sente perdida"
So che ti meriti un mondo diverso,Eu sei que você merece um mundo diferente
Perché poi in primis tu sei diversa,Porque você é diferente em primeiro lugar
Però ti chiedo,Mas eu te peço
Dimmi se ti senti male,Diga-me se você está se sentindo mal
Mi siedo al tuo fianco e troviamo un rimedio,Eu me sento ao seu lado e encontramos um remédio
O se io sono il tuo male rimandami indietro,"Ou se eu sou o seu mal, me mande de volta"
E se nessuno ti dà dei fiori,E se ninguém te der flores
Esci di casa e fatti un regalo,Saia de casa e faça um presente para você mesma
"Sai, l'amor proprio è quello migliore","Sabe, o amor-próprio é o melhor"
Prendi uno specchio e grida 'ti amo',Pegue um espelho e grite 'eu te amo'
Non ti serve nessuno,Você não precisa de ninguém
E presumo,E eu presumo
Che a volte ti senti sola,Que às vezes você se sente sozinha
Stammi a sentire,Escute-me
Ti giuro,Eu te juro
La cambi tu la tua storia,Você muda a sua história
